Alk,SO4,Na,Mg,Ca,Si
26,105.198317,47.401896,41.18292,65.8416,84.864
21,99.9984,50.002,46.911,69.3332,84.864
19,100.198397,50.002,46.911,65.3428,84.864
16,98.998416,43.901756,46.12092,59.3572,74.88
14,99.5984064,39.601584,33.77592,59.3572,69.888
14,98.2984272,38.301532,45.23208,63.8464,61.60128
15,96.1984608,35.701428,32.097,59.3572,59.904
6,87.6985968,33.00132,41.973,64.844,51.61728
13,85.5986304,33.50134,41.18292,59.3572,49.92
12,93.0985104,37.801512,42.76308,59.856,56.60928
7,95.5984704,39.101564,31.30692,62.35,56.60928
52,122.49804,86.50346,60.04608,91.2804,156.44928
67,122.698037,102.604104,55.10808,83.7984,161.44128
53,123.798019,88.703548,53.52792,84.796,161.44128
50,126.497976,89.603584,54.318,84.2972,163.03872
59,120.198077,99.103964,56.787,86.7912,158.04672
62,120.59807,100.004,58.46592,91.2804,183.00672
64,119.798083,101.304052,64.98408,84.796,179.712
67,115.398154,107.404296,57.57708,90.2828,199.68
78,112.898194,118.704748,62.51508,89.2852,207.96672
104,111.698213,114.804592,63.40392,95.7696,216.35328
114,108.09827,119.104764,63.40392,94.772,222.94272
118,104.99832,124.304972,64.98408,96.2684,232.92672
130,100.398394,127.00508,67.45308,95.7696,242.91072
130,96.6984528,127.00508,65.87292,93.2756,251.29728
145,94.3984896,133.00532,66.663,94.772,246.30528
140,91.8985296,133.50534,67.45308,99.2612,262.87872
171,88.498584,133.50534,69.92208,101.2564,271.26528
148,85.998624,136.50546,67.45308,100.7576,277.85472
159,82.6986768,138.305532,68.34192,103.2516,282.84672
164,82.0986864,140.0056,68.34192,103.7504,287.83872
196,77.0987664,153.00612,70.81092,95.2708,292.83072
201,74.5988064,155.206208,74.07,102.7528,296.22528
225,72.2988432,152.206088,74.07,102.254,302.81472
220,69.5988864,147.405896,72.39108,105.2468,306.20928
243,34.1994528,161.706468,83.15592,120.7096,344.448
260,45.3992736,171.306852,79.008,117.218,332.76672
304,18.0997104,179.607184,81.477,141.1604,364.416
330,22.2996432,181.707268,90.56292,144.652,359.424
303,18.0997104,166.50666,99.55008,124.7,349.44
292,15.999744,162.206488,82.26708,108.7384,349.44
281,20.5996704,150.406016,81.477,104.748,336.16128
239,28.2995472,141.305652,74.86008,92.278,304.512
213,50.1991968,131.305252,76.539,92.7768,299.52
206,50.3991936,131.305252,76.539,92.7768,299.52
107,84.5986464,91.303652,57.57708,77.314,181.40928
93,88.498584,83.00332,59.256,71.3284,164.736
61,102.898354,57.802312,52.63908,65.3428,113.11872
45,105.998304,50.902036,47.70108,63.8464,94.848
35,103.498344,45.201808,44.442,57.362,83.16672
40,98.0984304,46.101844,39.504,53.8704,83.16672
36,98.2984272,48.701948,43.65192,63.8464,84.864
29,101.89837,44.301772,42.76308,55.8656,78.17472
24,100.998384,40.401616,41.973,44.3932,69.888
26,100.398394,41.701668,38.71392,54.868,73.18272
27,100.198397,46.50186,39.504,61.8512,79.872
27,103.798339,50.902036,43.65192,62.8488,88.15872
39,99.5984064,45.201808,44.442,55.3668,84.864
47,104.39833,55.702228,45.23208,59.3572,98.14272
31,105.398314,58.702348,47.70108,59.856,103.13472
45,106.498296,55.702228,45.23208,58.3596,103.13472
34,107.49828,52.602104,41.18292,70.8296,94.848
28,106.198301,55.202208,46.911,58.8584,98.14272
24,106.498296,55.202208,43.65192,63.8464,94.848
38,109.198253,57.402296,46.12092,66.8392,99.84
40,113.298187,71.702868,51.05892,63.8464,131.48928
67,109.99824,80.0032,55.10808,62.35,154.752
106,107.898274,85.203408,56.787,59.3572,171.42528
100,106.89829,93.50374,51.849,74.3212,179.712
91,101.498376,93.50374,59.256,68.8344,186.40128
117,99.3984096,93.903756,59.256,73.3236,194.688
105,96.6984528,98.703948,59.256,78.3116,201.37728
128,93.498504,105.204208,60.93492,77.314,209.664
116,90.7985472,103.904156,61.725,76.3164,219.648
137,88.2985872,110.404416,60.93492,79.808,221.34528
134,85.3986336,109.604384,64.194,76.8152,229.632
143,83.2986672,110.0044,62.51508,81.8032,236.32128
163,81.1987008,111.704468,64.194,81.3044,236.32128
165,79.1987328,113.00452,55.10808,74.82,241.31328
170,77.0987664,117.00468,64.194,81.3044,239.616
167,75.3987936,117.00468,66.663,80.3068,244.608
169,73.498824,113.00452,61.725,74.3212,246.30528
154,71.6988528,120.404816,66.663,76.3164,249.6
175,70.1988768,117.804712,68.34192,73.3236,251.29728
162,71.8988496,117.404696,67.45308,78.3116,254.592
172,66.8989296,119.604784,67.45308,76.3164,256.28928
176,65.5989504,120.0048,66.663,63.8464,261.28128
203,64.1989728,123.904956,69.92208,73.8224,266.27328
168,63.0989904,118.304732,64.194,77.314,266.27328
196,58.0990704,124.804992,70.81092,75.3188,271.26528
223,36.2994192,138.705548,72.39108,78.8104,309.504
224,40.5993504,133.00532,56.787,91.7792,279.552
172,47.2992432,123.00492,55.10808,95.7696,249.6
171,50.1991968,105.704228,51.05892,72.326,209.664
174,55.5991104,90.903636,48.58992,75.8176,192.99072
119,73.998816,69.602784,47.70108,79.808,139.776
86,88.2985872,55.202208,41.18292,66.8392,101.53728
38,95.3984736,45.201808,37.82508,63.8464,79.872
39,92.6985168,38.301532,34.566,62.35,64.896
28,96.498456,41.701668,35.35608,63.8464,74.88
28,98.7984192,36.50146,31.30692,54.868,66.59328
13,106.498296,44.801792,34.566,59.856,79.872
26,114.798163,52.202088,42.76308,66.3404,96.54528
20,115.198157,55.202208,41.18292,59.856,99.84
17,113.798179,46.101844,37.82508,59.3572,86.56128
0,117.698117,48.301932,41.973,67.8368,96.54528
